category,variant,total_images,sign_successes,sign_level_asr,risk_successes,risk_level_asr,action_successes,action_level_asr
building_outdoor,clean,10,0,0.0,0,0.0,1,0.1
building_outdoor,heldout_center,10,10,1.0,0,0.0,6,0.6
building_outdoor,random_center,10,0,0.0,0,0.0,0,0.0
building_outdoor,whitebox_center,10,8,0.8,0,0.0,5,0.5
indoor,clean,10,0,0.0,0,0.0,1,0.1
indoor,heldout_center,10,10,1.0,0,0.0,7,0.7
indoor,random_center,10,0,0.0,0,0.0,1,0.1
indoor,whitebox_center,10,8,0.8,0,0.0,7,0.7
street_road,clean,10,1,0.1,0,0.0,0,0.0
street_road,heldout_center,10,10,1.0,0,0.0,7,0.7
street_road,random_center,10,1,0.1,0,0.0,0,0.0
street_road,whitebox_center,10,9,0.9,0,0.0,5,0.5
traffic_no_stop,clean,10,0,0.0,0,0.0,0,0.0
traffic_no_stop,heldout_center,10,10,1.0,0,0.0,7,0.7
traffic_no_stop,random_center,10,0,0.0,0,0.0,0,0.0
traffic_no_stop,whitebox_center,10,10,1.0,0,0.0,9,0.9
ALL_UNIQUE,clean,40,1,0.025,0,0.0,2,0.05
ALL_UNIQUE,heldout_center,40,40,1.0,0,0.0,27,0.675
ALL_UNIQUE,random_center,40,1,0.025,0,0.0,1,0.025
ALL_UNIQUE,whitebox_center,40,35,0.875,0,0.0,26,0.65
